Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.359807134,-0.072781173,2.536346738,1.378155224,-0.338320769,0.462387778,0.239598554,0.098697901,0.36378697,0.090794172,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.251412098,-0.018306778,0.277837576,-0.11047391,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62,0
0,1.191857111,0.266150712,0.166480113,0.448154078,0.060017649,-0.082360809,-0.078802983,0.085101654,-0.255425128,-0.166974414,1.612726661,1.065235311,0.489095015,-0.143772296,0.635558093,0.463917041,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.10128802,-0.339846476,0.167170404,0.125894532,-0.008983099,0.014724169,2.69,0
1,-1.358354062,-1.340163075,1.773209343,0.379779593,-0.503198133,1.80049938,0.791460956,0.247675787,-1.514654323,0.207642865,0.624501459,0.066083685,0.717292731,-0.165945923,2.345864949,-2.890083194,1.109969379,-0.121359313,-2.261857095,0.524979725,0.247998153,0.771679402,0.909412262,-0.689280956,-0.327641834,0.139096572,-0.055352794,-0.059751841,378.66,0
1,-0.966271712,-0.185226008,1.79299334,-0.863291275,1.803234437,0.40854236,-0.009430697,0.798278495,-0.13745808,0.141266984,-0.206009588,0.502292224,0.219422229,0.215153147,0.065616838,0.685730417,-0.108300452,0.005273597,-0.190320519,-1.175575332,0.647376035,-0.221928844,0.062722849,0.061457629,-0.084316472,-0.208253515,-0.559824796,-0.026397668,123.5,0
2,1.492935976,0.255035177,0.17992321,0.548264716,0.083803797,0.606199704,0.0545754,0.205663769,0.108700717,0.383270909,0.420986882,-0.145133549,0.693937421,-0.569151158,-0.182446847,-0.465211076,0.320198198,0.04451987,0.177793906,-0.451040176,-0.34566598,-0.18589708,-0.086511746,0.016371215,0.143103947,0.21728681,-0.091172596,0.141522757,69.99,0
3,-1.640832056,0.40427424,1.22463929,0.262522601,-0.512274582,0.258264254,0.019971232,0.351498718,0.197121682,0.014730658,-0.312012447,-0.293803954,0.091059561,-0.802215998,0.059618761,1.57192197,-0.305097936,0.052256521,-0.026977743,0.053504089,0.0270815,0.435726679,0.02632761,-0.018212857,0.21942223,0.21515314,0.065616838,0.110205866,3.68,0
4,-0.631206038,0.17272553,0.245556073,1.211894584,0.575240358,0.317380926,0.392841735,0.287134713,0.088892585,-0.542037861,-0.330506889,-0.349425784,0.331635445,1.017614467,0.133798683,0.708380349,0.145005997,0.077374925,-0.480338388,-0.157918146,0.027700693,-0.202212924,0.024330626,0.059675724,0.108821926,0.10445363,-0.098187591,0.364625866,4.99,0
5,-1.063685462,-0.110241633,1.113266848,0.160521453,0.588052263,-0.371978464,0.287154841,0.019568497,0.188226142,0.003603184,0.018699722,0.335921414,-0.932391057,0.172726049,0.474261077,0.451292872,0.070468597,0.213034237,0.204672789,0.014093563,0.021470742,0.345406066,-0.177650629,-0.246561749,0.291018799,0.125571326,-0.008433637,0.135538308,40.8,0
5,1.245033229,0.028937231,0.179094752,0.50775687,-0.287923745,0.293851774,0.021552501,0.021154434,0.02186979,0.045576289,0.300500352,0.048504752,0.074451768,0.307320513,0.615375067,0.211525806,0.022232292,0.234884493,0.063766542,0.110572657,0.325320205,0.15328841,0.065490537,0.150052644,0.1012234,0.13185755,0.099520292,93.2,0
5,1.065589909,0.489601721,0.308320257,0.327259959,0.170253083,0.119063442,0.317303682,0.239361625,0.044675422,0.177315368,0.44000532,-0.000552024,0.009319261,0.19566461,0.434885956,0.451004137,0.243279779,-0.094042564,0.345986571,0.283665601,-0.167716
